z0,zp,Physical,P1,P2
1,65,TRUE,147,149
2,68,TRUE,148,150
3,76,TRUE,149,150
4,61,TRUE,148,147
5,37,TRUE,138,135
6,39,TRUE,125,139
7,44,TRUE,141,138
8,49,TRUE,139,143
9,64,FALSE,149,140
10,67,FALSE,150,142
11,54,TRUE,145,141
12,32,FALSE,135,136
13,59,FALSE,147,136
14,36,FALSE,137,138
15,62,FALSE,148,137
16,51,TRUE,143,144
17,70,TRUE,144,151
18,75,TRUE,151,152
19,73,TRUE,152,146
20,56,TRUE,146,145
21,74,FALSE,151,150
22,71,FALSE,152,149
23,34,FALSE,137,136
24,42,FALSE,136,140
25,47,FALSE,137,142
26,52,FALSE,144,140
27,57,FALSE,146,142
28,41,FALSE,140,139
29,46,FALSE,142,141
